Blender 4.2.16 LTS (hash 39502cae951c built 2025-11-18 01:34:37)
Read blend: "D:\workspace\python-workspace\Tower\main.blend"
Warning: File written by newer Blender binary (405.91), expect loss of data!
Fra:1 Mem:11.50M (Peak 11.50M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_0
Fra:1 Mem:11.50M (Peak 11.50M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_1
Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:10.99M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:10.99M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:10.99M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:10.99M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:11.07M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:11.08M (Peak 39.37M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:11.08M (Peak 39.37M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:11.08M (Peak 39.37M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:11.08M (Peak 39.37M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.09M (Peak 39.37M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images | Loading wood.png
Fra:1 Mem:17.10M (Peak 39.37M) | Time:00:00.11 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:17.10M (Peak 39.37M) | Time:00:00.11 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.10M (Peak 39.37M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:17.10M (Peak 39.37M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:17.10M (Peak 39.37M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:17.10M (Peak 39.37M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Film
Fra:1 Mem:17.11M (Peak 39.37M) | Time:00:00.11 | Mem:6.02M, Peak:6.10M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.11M (Peak 39.37M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:17.11M (Peak 39.37M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:17.11M (Peak 39.37M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:21.11M (Peak 39.37M) | Time:00:00.12 | Mem:350.10M, Peak:350.10M | Scene, ViewLayer | Sample 0/32
Fra:1 Mem:25.86M (Peak 39.37M) | Time:00:00.13 | Remaining:00:00.31 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 1/32
Fra:1 Mem:27.87M (Peak 39.37M) | Time:00:00.98 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 32/32
Fra:1 Mem:27.87M (Peak 39.37M) | Time:00:00.98 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Finished
Saved: 'C:\Users\admin\AppData\Local\Temp\tmpu_t984li.png'
Time: 00:01.01 (Saving: 00:00.01)

Fra:1 Mem:11.51M (Peak 11.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WoodGround
Fra:1 Mem:11.51M (Peak 11.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_1
Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:10.99M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:10.99M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:10.99M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:10.99M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:11.07M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:11.07M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:11.07M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:11.07M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:11.07M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:11.07M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images | Loading wood.png
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Film
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.02M, Peak:6.10M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:21.11M (Peak 39.38M) | Time:00:00.09 | Mem:350.10M, Peak:350.10M | Scene, ViewLayer | Sample 0/32
Fra:1 Mem:25.87M (Peak 39.38M) | Time:00:00.09 | Remaining:00:00.17 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 1/32
Fra:1 Mem:27.87M (Peak 39.38M) | Time:00:00.44 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 32/32
Fra:1 Mem:27.87M (Peak 39.38M) | Time:00:00.44 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Finished
Saved: 'C:\Users\admin\AppData\Local\Temp\tmpr0mia6hf.png'
Time: 00:00.47 (Saving: 00:00.00)

Fra:1 Mem:11.51M (Peak 11.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WoodGround
Fra:1 Mem:11.51M (Peak 11.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_4
Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:10.99M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:10.99M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:10.99M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:10.99M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images | Loading wood.png
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.07 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.07 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.07 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Film
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.02M, Peak:6.10M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:21.12M (Peak 39.38M) | Time:00:00.09 | Mem:350.10M, Peak:350.10M | Scene, ViewLayer | Sample 0/32
Fra:1 Mem:25.87M (Peak 39.38M) | Time:00:00.09 | Remaining:00:00.13 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 1/32
Fra:1 Mem:27.87M (Peak 39.38M) | Time:00:00.32 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 32/32
Fra:1 Mem:27.87M (Peak 39.38M) | Time:00:00.32 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Finished
Saved: 'C:\Users\admin\AppData\Local\Temp\tmpldp0zrvi.png'
Time: 00:00.35 (Saving: 00:00.01)

Fra:1 Mem:11.51M (Peak 11.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WoodGround
Fra:1 Mem:11.51M (Peak 11.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_1
Fra:1 Mem:11.53M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:10.99M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:11.00M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:11.00M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:11.00M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images | Loading wood.png
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.07 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.07 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.07 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Film
Fra:1 Mem:17.12M (Peak 39.38M) | Time:00:00.08 | Mem:6.02M, Peak:6.10M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.12M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:17.12M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:17.12M (Peak 39.38M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:21.12M (Peak 39.38M) | Time:00:00.09 | Mem:350.10M, Peak:350.10M | Scene, ViewLayer | Sample 0/32
Fra:1 Mem:25.87M (Peak 39.38M) | Time:00:00.11 | Remaining:00:00.37 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 1/32
Fra:1 Mem:27.88M (Peak 39.38M) | Time:00:00.43 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 32/32
Fra:1 Mem:27.88M (Peak 39.38M) | Time:00:00.43 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Finished
Saved: 'C:\Users\admin\AppData\Local\Temp\tmpapnkgqit.png'
Time: 00:00.45 (Saving: 00:00.00)

Fra:1 Mem:11.51M (Peak 11.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WoodGround
Fra:1 Mem:11.51M (Peak 11.51M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_6
Fra:1 Mem:11.53M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
